age,3,10,25,50,75,90,97
0 month,45.8,47.5,49.8,50.7,52.0,53.1,53.9
1 month,48.5,50.3,52.1,53.5,55.0,56.1,57.3
2 month,51.2,53.3,55.2,56.8,58.0,59.3,60.6
3 month,54.0,56.2,57.6,59.3,60.7,61.8,63.6
4 month,56.7,58.4,60.0,61.2,62.8,64.0,65.7
5 month,59. 1,60.8,62.0,63.8,65.1,66.0,68.0
6 month,60.8,62.5,64.1,65.5,67.1,68.8,70.0
7 month,62.7,64. 1,65.9,67. 5,69.2,70.4,71.9
8 month,64.5,66.0,67.5,69.0,70.5,72.5,73.7
9 month,66.0,67.5,69.1,70.2,72.0,74.1,75.5
10 month,67.5,69.0,70.3,71.9,73.2,75.3,76.8
11 month,68.9,70.1,71.5,73.0,74.7,76.5,78.1
1 year,70.1,71.4,72.8,74.1,75.8,78.0,79.6
15 month,72.9,74.5,76.0,77.1,79.1,81.5,83.4
18 month,75.8,77.1,78.9,79.9,82.1,84.5,86.8
21 month,78.0,79.5,81.2,82.9,84.5,87.5,89.5
2 year,82.3,84.0,85.8,88.0,88.5,90.4,91.7
27 month,84.0,85.2,87.0,89.0,92.0,93.0,95.0
30 month,84.2,86.0,88.5,91.0,93.3,96.5,101.2
33 month,85.9,88.0,90.4,93.0,97.0,98.5,101.6
3 year,88.9,91.0,93.0,96.0,98.7,101.2,103.2
3.5 year,92.0,95.0,97.0,99.3,102.0,103.2,106.3
4 year,94.4,96.5,100.0,104.0,107.0,110.0,112.1
4.5 year,99.7,102.0,104.9,108.0,111.0,114.5,117.6
5 year,103.7,105.6,108.0,111.0,114.0,116.3,121.3
5.5 year,105.2,107.4,111.5,114.0,117.0,119.5,121.8
6 year,109.0,111.0,113.0,116.0,119.5,122.0,126.4
6.5 year,110.2,114.5,116.8,119.5,122.5,124.5,127.9
7 year,114.5,116.0,120.5,126.0,130.0,133.8,134.5
8 year,116.5,120.0,122. 9,126.0,128.6,132.0,133.0
9 year,120.0,122.7,125.5,129.0,133.5,136.5,139.7
10 year,130.5,132.5,136.0,141.5,144.0,148.1,150.0
11 year,134.0,135.5,139.9,144.0,149.1,152.8,155.5
12 year,132.7,140.0,146.0,151.3,157.4,160.2,168.3
13 year,147.0,150.0,154.5,161.0,165.3,170.0,173.5
14 year,149.9,153.4,158.0,162.8,166.0,170.0,174.6
15 year,153.0,155.6,158.0,163.0,168.5,172.0,174.1
16 year,151.6,155.2,158.0,162.5,166.8,170.2,173.8
17 year,152.2,155.8,158.6,162.8,169.2,170.4,174.2
